2023-05-22T10:19:48.275+0800	[34mINFO[0m	mlink/hub.go:84	[elapsed 117.904501ms, rows 0] UPDATE `minion` SET `status`=2,`updated_at`='2023-05-22 10:19:48.158' WHERE `minion`.`broker_id` = 62837086593667088 AND `minion`.`status` = 3
2023-05-22T10:40:30.411+0800	[34mINFO[0m	mlink/hub.go:239	[elapsed 116.396484ms, rows 0] UPDATE `minion` SET `status`=2,`updated_at`='2023-05-22 10:40:30.295' WHERE `minion`.`broker_id` = 62837086593667088 AND `minion`.`status` = 3
2023-05-22T11:02:03.524+0800	[33mWARN[0m	runtime/asm_amd64.s:1598	与中心端的连接已断开
2023-05-22T11:02:03.639+0800	[34mINFO[0m	mlink/hub.go:239	[elapsed 113.900461ms, rows 0] UPDATE `minion` SET `status`=2,`updated_at`='2023-05-22 11:02:03.525' WHERE `minion`.`broker_id` = 62837086593667088 AND `minion`.`status` = 3
2023-05-22T11:02:03.639+0800	[34mINFO[0m	runtime/proc.go:250	程序运行结束
2023-05-22T11:02:05.664+0800	[34mINFO[0m	mlink/hub.go:244	[elapsed 117.6285ms, rows 0] UPDATE `minion` SET `status`=2,`updated_at`='2023-05-22 11:02:05.546' WHERE `minion`.`broker_id` = 62837086593667088 AND `minion`.`status` = 3
2023-05-22T14:09:39.743+0800	[34mINFO[0m	mlink/hub.go:98	[elapsed 57.924202ms, rows 0] SELECT * FROM `minion` WHERE `minion`.`inet` = '172.31.61.168' ORDER BY `minion`.`id` LIMIT 1, error: record not found
2023-05-22T14:09:39.828+0800	[34mINFO[0m	mlink/hub.go:128	[elapsed 57.209816ms, rows 1] INSERT INTO `minion` (`inet`,`inet6`,`mac`,`goos`,`arch`,`edition`,`status`,`uptime`,`broker_id`,`broker_name`,`org_path`,`identity`,`category`,`op_duty`,`comment`,`ibu`,`idc`,`created_at`,`updated_at`,`id`) VALUES ('172.31.61.168','','e4:54:e8:a0:3d:67','linux','amd64','',0,NULL,62837086593667088,'本地测试Broker','','','','','','','','2023-05-22 14:09:39.772','2023-05-22 14:09:39.772',172348060820979712)
2023-05-22T14:09:39.886+0800	[34mINFO[0m	mlink/hub.go:133	[elapsed 57.463059ms, rows 3] INSERT INTO `minion_tag` (`tag`,`minion_id`,`kind`,`id`) VALUES ('linux',0,1,172348061064249344),('amd64',0,1,172348061064249345),('172.31.61.168',0,1,172348061064249346) ON DUPLICATE KEY UPDATE `id`=`id`
2023-05-22T14:09:40.982+0800	[34mINFO[0m	mlink/hub.go:98	[elapsed 58.864412ms, rows 1] SELECT * FROM `minion` WHERE `minion`.`inet` = '172.31.61.168' ORDER BY `minion`.`id` LIMIT 1
2023-05-22T14:09:41.044+0800	[34mINFO[0m	mlink/hub.go:98	[elapsed 59.391016ms, rows 1] SELECT * FROM `minion` WHERE `minion`.`inet` = '172.31.61.168' ORDER BY `minion`.`id` LIMIT 1
2023-05-22T14:09:41.105+0800	[34mINFO[0m	mlink/hub.go:98	[elapsed 59.668363ms, rows 1] SELECT * FROM `minion` WHERE `minion`.`inet` = '172.31.61.168' ORDER BY `minion`.`id` LIMIT 1
2023-05-22T14:09:41.166+0800	[34mINFO[0m	mlink/hub.go:98	[elapsed 57.666035ms, rows 1] SELECT * FROM `minion` WHERE `minion`.`inet` = '172.31.61.168' ORDER BY `minion`.`id` LIMIT 1
2023-05-22T14:09:41.225+0800	[34mINFO[0m	mlink/hub.go:98	[elapsed 58.609316ms, rows 1] SELECT * FROM `minion` WHERE `minion`.`inet` = '172.31.61.168' ORDER BY `minion`.`id` LIMIT 1
2023-05-22T14:09:41.285+0800	[34mINFO[0m	mlink/hub.go:98	[elapsed 58.791641ms, rows 1] SELECT * FROM `minion` WHERE `minion`.`inet` = '172.31.61.168' ORDER BY `minion`.`id` LIMIT 1
2023-05-22T14:09:41.346+0800	[34mINFO[0m	mlink/hub.go:98	[elapsed 59.4821ms, rows 1] SELECT * FROM `minion` WHERE `minion`.`inet` = '172.31.61.168' ORDER BY `minion`.`id` LIMIT 1
2023-05-22T14:09:41.407+0800	[34mINFO[0m	mlink/hub.go:98	[elapsed 58.333323ms, rows 1] SELECT * FROM `minion` WHERE `minion`.`inet` = '172.31.61.168' ORDER BY `minion`.`id` LIMIT 1
2023-05-22T14:09:41.466+0800	[34mINFO[0m	mlink/hub.go:98	[elapsed 57.989835ms, rows 1] SELECT * FROM `minion` WHERE `minion`.`inet` = '172.31.61.168' ORDER BY `minion`.`id` LIMIT 1
2023-05-22T14:09:41.525+0800	[34mINFO[0m	mlink/hub.go:98	[elapsed 58.430065ms, rows 1] SELECT * FROM `minion` WHERE `minion`.`inet` = '172.31.61.168' ORDER BY `minion`.`id` LIMIT 1
2023-05-22T14:09:41.584+0800	[34mINFO[0m	mlink/hub.go:98	[elapsed 58.391384ms, rows 1] SELECT * FROM `minion` WHERE `minion`.`inet` = '172.31.61.168' ORDER BY `minion`.`id` LIMIT 1
2023-05-22T14:09:41.643+0800	[34mINFO[0m	mlink/hub.go:98	[elapsed 58.207701ms, rows 1] SELECT * FROM `minion` WHERE `minion`.`inet` = '172.31.61.168' ORDER BY `minion`.`id` LIMIT 1
2023-05-22T14:09:41.701+0800	[34mINFO[0m	mlink/hub.go:98	[elapsed 57.131517ms, rows 1] SELECT * FROM `minion` WHERE `minion`.`inet` = '172.31.61.168' ORDER BY `minion`.`id` LIMIT 1
